Time Elapsed:  119.11s, Average test loss: 0.0024, Test accuracy: 284/1446 (19%)
Time Elapsed:  244.84s, Average test loss: 0.0024, Test accuracy: 144/1446 (9%)
Time Elapsed:  376.07s, Average test loss: 0.0017, Test accuracy: 565/1446 (39%)
Time Elapsed:  514.34s, Average test loss: 0.0016, Test accuracy: 290/1446 (20%)
Time Elapsed:  651.71s, Average test loss: 0.0015, Test accuracy: 397/1446 (27%)
Time Elapsed:  795.03s, Average test loss: 0.0014, Test accuracy: 520/1446 (35%)
Time Elapsed:  931.94s, Average test loss: 0.0013, Test accuracy: 444/1446 (30%)
Time Elapsed: 1082.79s, Average test loss: 0.0012, Test accuracy: 721/1446 (49%)
Time Elapsed: 1221.96s, Average test loss: 0.0013, Test accuracy: 575/1446 (39%)
Time Elapsed: 1367.83s, Average test loss: 0.0011, Test accuracy: 790/1446 (54%)
Time Elapsed: 1507.80s, Average test loss: 0.0011, Test accuracy: 759/1446 (52%)
Time Elapsed: 1655.61s, Average test loss: 0.0011, Test accuracy: 783/1446 (54%)
Time Elapsed: 1792.24s, Average test loss: 0.0010, Test accuracy: 721/1446 (49%)
Time Elapsed: 1945.10s, Average test loss: 0.0010, Test accuracy: 822/1446 (56%)
Time Elapsed: 2092.18s, Average test loss: 0.0010, Test accuracy: 822/1446 (56%)
Time Elapsed: 2230.21s, Average test loss: 0.0010, Test accuracy: 801/1446 (55%)
Time Elapsed: 2382.93s, Average test loss: 0.0009, Test accuracy: 807/1446 (55%)
Time Elapsed: 2530.28s, Average test loss: 0.0009, Test accuracy: 857/1446 (59%)
Time Elapsed: 2669.97s, Average test loss: 0.0009, Test accuracy: 865/1446 (59%)
Time Elapsed: 2815.91s, Average test loss: 0.0009, Test accuracy: 823/1446 (56%)
Time Elapsed: 2963.45s, Average test loss: 0.0009, Test accuracy: 846/1446 (58%)
Time Elapsed: 3105.96s, Average test loss: 0.0009, Test accuracy: 916/1446 (63%)
Time Elapsed: 3251.08s, Average test loss: 0.0008, Test accuracy: 896/1446 (61%)
Time Elapsed: 3387.57s, Average test loss: 0.0008, Test accuracy: 871/1446 (60%)
Time Elapsed: 3541.31s, Average test loss: 0.0008, Test accuracy: 899/1446 (62%)
Time Elapsed: 3677.87s, Average test loss: 0.0008, Test accuracy: 932/1446 (64%)
