Time Elapsed:   30.25s, Average test loss: 0.0091, Test accuracy: 155/1446 (10%)
Time Elapsed: 1194.80s, Average test loss: 0.0085, Test accuracy: 329/1446 (22%)
Time Elapsed: 2382.52s, Average test loss: 0.0083, Test accuracy: 333/1446 (23%)
Time Elapsed: 3563.02s, Average test loss: 0.0055, Test accuracy: 763/1446 (52%)
Time Elapsed: 5252.46s, Average test loss: 0.0047, Test accuracy: 864/1446 (59%)
Time Elapsed: 7484.71s, Average test loss: 0.0039, Test accuracy: 942/1446 (65%)
Time Elapsed: 9525.14s, Average test loss: 0.0036, Test accuracy: 990/1446 (68%)
Time Elapsed: 11579.38s, Average test loss: 0.0031, Test accuracy: 1069/1446 (73%)
Time Elapsed: 13636.43s, Average test loss: 0.0032, Test accuracy: 1073/1446 (74%)
Time Elapsed: 15680.98s, Average test loss: 0.0027, Test accuracy: 1113/1446 (76%)
Time Elapsed: 17744.48s, Average test loss: 0.0024, Test accuracy: 1158/1446 (80%)
Time Elapsed: 19818.06s, Average test loss: 0.0023, Test accuracy: 1183/1446 (81%)
Time Elapsed: 21893.65s, Average test loss: 0.0023, Test accuracy: 1178/1446 (81%)
Time Elapsed: 23953.04s, Average test loss: 0.0021, Test accuracy: 1203/1446 (83%)
Time Elapsed: 26013.97s, Average test loss: 0.0020, Test accuracy: 1209/1446 (83%)
Time Elapsed: 28065.05s, Average test loss: 0.0028, Test accuracy: 1156/1446 (79%)
Time Elapsed: 30105.31s, Average test loss: 0.0023, Test accuracy: 1193/1446 (82%)
Time Elapsed: 32162.81s, Average test loss: 0.0020, Test accuracy: 1205/1446 (83%)
Time Elapsed: 34221.45s, Average test loss: 0.0020, Test accuracy: 1211/1446 (83%)
Time Elapsed: 36281.76s, Average test loss: 0.0020, Test accuracy: 1222/1446 (84%)
Time Elapsed: 38344.73s, Average test loss: 0.0021, Test accuracy: 1208/1446 (83%)
Time Elapsed: 40407.61s, Average test loss: 0.0024, Test accuracy: 1218/1446 (84%)
Time Elapsed: 42466.55s, Average test loss: 0.0023, Test accuracy: 1190/1446 (82%)
Time Elapsed: 44541.35s, Average test loss: 0.0022, Test accuracy: 1208/1446 (83%)
Time Elapsed: 46610.94s, Average test loss: 0.0021, Test accuracy: 1226/1446 (84%)
Time Elapsed: 48683.31s, Average test loss: 0.0023, Test accuracy: 1218/1446 (84%)
Time Elapsed: 50747.49s, Average test loss: 0.0020, Test accuracy: 1208/1446 (83%)
Time Elapsed: 52816.35s, Average test loss: 0.0027, Test accuracy: 1188/1446 (82%)
Time Elapsed: 54887.24s, Average test loss: 0.0025, Test accuracy: 1204/1446 (83%)
Time Elapsed: 56959.01s, Average test loss: 0.0019, Test accuracy: 1232/1446 (85%)
Time Elapsed: 59033.43s, Average test loss: 0.0026, Test accuracy: 1201/1446 (83%)
Time Elapsed: 61104.43s, Average test loss: 0.0025, Test accuracy: 1200/1446 (82%)
Time Elapsed: 63189.72s, Average test loss: 0.0029, Test accuracy: 1193/1446 (82%)
Time Elapsed: 65259.38s, Average test loss: 0.0022, Test accuracy: 1237/1446 (85%)
Time Elapsed: 67339.15s, Average test loss: 0.0028, Test accuracy: 1196/1446 (82%)
Time Elapsed: 69422.02s, Average test loss: 0.0032, Test accuracy: 1212/1446 (83%)
Time Elapsed: 71511.75s, Average test loss: 0.0025, Test accuracy: 1190/1446 (82%)
Time Elapsed: 73590.11s, Average test loss: 0.0022, Test accuracy: 1220/1446 (84%)
Time Elapsed: 75664.90s, Average test loss: 0.0024, Test accuracy: 1194/1446 (82%)
Time Elapsed: 77746.86s, Average test loss: 0.0028, Test accuracy: 1208/1446 (83%)
Time Elapsed: 79835.35s, Average test loss: 0.0028, Test accuracy: 1215/1446 (84%)
Time Elapsed: 81905.88s, Average test loss: 0.0033, Test accuracy: 1184/1446 (81%)
Time Elapsed: 84012.12s, Average test loss: 0.0039, Test accuracy: 1180/1446 (81%)
Time Elapsed: 86121.53s, Average test loss: 0.0031, Test accuracy: 1196/1446 (82%)
Time Elapsed: 88218.39s, Average test loss: 0.0038, Test accuracy: 1201/1446 (83%)
Time Elapsed: 90300.92s, Average test loss: 0.0028, Test accuracy: 1235/1446 (85%)
Time Elapsed: 92392.37s, Average test loss: 0.0027, Test accuracy: 1206/1446 (83%)
Time Elapsed: 94474.90s, Average test loss: 0.0074, Test accuracy: 1203/1446 (83%)
